time,sc_pdsi
1765-01-01,0.43
1766-01-01,-1.89
1767-01-01,1.43
1768-01-01,2.65
1769-01-01,-1.42
1770-01-01,0.44
1771-01-01,0.21
1772-01-01,-0.59
1773-01-01,-0.09
1774-01-01,0.01
1775-01-01,-0.94
1776-01-01,0.63
1777-01-01,-0.42
1778-01-01,-1.16
1779-01-01,-2.46
1780-01-01,0.79
1781-01-01,1.47
1782-01-01,0.01
1783-01-01,-2.71
1784-01-01,-1.83
1785-01-01,-0.38
1786-01-01,0.63
1787-01-01,-0.21
1788-01-01,0.68
1789-01-01,0.71
1790-01-01,2.2
1791-01-01,-0.4
1792-01-01,-3.32
1793-01-01,-1.79
1794-01-01,1.93
1795-01-01,-0.85
1796-01-01,-0.32
1797-01-01,1.02
1798-01-01,0.39
1799-01-01,-2.02
1800-01-01,-0.69
1801-01-01,1.55
1802-01-01,0.47
1803-01-01,0.51
1804-01-01,-2.38
1805-01-01,-2.39
1806-01-01,2.31
1807-01-01,-2.28
1808-01-01,-0.08
1809-01-01,1.43
1810-01-01,-1.54
1811-01-01,-0.81
1812-01-01,1.85
1813-01-01,-1.64
1814-01-01,0.05
1815-01-01,0.09
1816-01-01,-0.06
1817-01-01,-2.94
1818-01-01,-3.31
1819-01-01,1.2
1820-01-01,-1.16
1821-01-01,-0.39
1822-01-01,-0.7
1823-01-01,1.09
1824-01-01,-0.67
1825-01-01,-2.67
1826-01-01,1.78
1827-01-01,-0.56
1828-01-01,0.04
1829-01-01,-0.01
1830-01-01,2.34
1831-01-01,0.05
1832-01-01,1.28
1833-01-01,-2.49
1834-01-01,-1.23
1835-01-01,0.12
1836-01-01,0.05
1837-01-01,-1.47
1838-01-01,0.36
1839-01-01,-1.29
1840-01-01,2.54
1841-01-01,3.61
1842-01-01,0.71
1843-01-01,-0.11
1844-01-01,-1.09
1845-01-01,-0.39
1846-01-01,-0.35
1847-01-01,0.8
1848-01-01,3.39
1849-01-01,-0.7
1850-01-01,-0.9
1851-01-01,1.67
1852-01-01,0.76
1853-01-01,-1.67
1854-01-01,1.15
1855-01-01,1.29
1856-01-01,-0.54
1857-01-01,-1.74
1858-01-01,-0.77
1859-01-01,0.08
1860-01-01,-0.22
1861-01-01,1.27
1862-01-01,-0.3
1863-01-01,-0.62
1864-01-01,-1.57
1865-01-01,-1.38
1866-01-01,-0.29
1867-01-01,2.18
1868-01-01,-1.83
1869-01-01,-2.24
1870-01-01,-0.19
1871-01-01,0.18
1872-01-01,1.4
1873-01-01,0.8
1874-01-01,0.63
1875-01-01,-0.31
1876-01-01,0.44
1877-01-01,-1.03
1878-01-01,0.03
1879-01-01,-0.83
1880-01-01,2.54
1881-01-01,-0.76
1882-01-01,-1.43
1883-01-01,1.23
1884-01-01,-2.25
1885-01-01,-2.28
1886-01-01,1.51
1887-01-01,3.38
1888-01-01,-0.67
1889-01-01,0.1
1890-01-01,2.34
1891-01-01,-1.8
1892-01-01,-1.29
1893-01-01,-0.29
1894-01-01,0.92
1895-01-01,1.06
1896-01-01,-1.11
1897-01-01,1.14
1898-01-01,1.72
1899-01-01,-1.06
1900-01-01,-1.37
1901-01-01,-1.85
1902-01-01,-1.94
1903-01-01,-2.26
1904-01-01,2.42
1905-01-01,0.75
1906-01-01,-1.06
1907-01-01,0.55
1908-01-01,2.22
1909-01-01,-0.11
1910-01-01,1.18
1911-01-01,1.12
1912-01-01,-1.62
1913-01-01,-2.08
1914-01-01,-0.6
1915-01-01,0.28
1916-01-01,2.04
1917-01-01,0.69
1918-01-01,1.65
1919-01-01,-2.55
1920-01-01,0.07
1921-01-01,0.95
1922-01-01,0.65
1923-01-01,-2.55
1924-01-01,-1.47
1925-01-01,-0.19
1926-01-01,-0.4
1927-01-01,0.03
1928-01-01,3.32
1929-01-01,-0.85
1930-01-01,-1.48
1931-01-01,-3.07
1932-01-01,-2.73
1933-01-01,-1.38
1934-01-01,2.55
1935-01-01,2.98
1936-01-01,0.29
1937-01-01,-3.88
1938-01-01,-0.36
1939-01-01,-0.19
1940-01-01,-2.91
1941-01-01,-0.74
