time,sc_pdsi
1796-01-01,0.86
1797-01-01,0.15
1798-01-01,-1.31
1799-01-01,-0.94
1800-01-01,3.7
1801-01-01,3.86
1802-01-01,2.57
1803-01-01,0.43
1804-01-01,0.95
1805-01-01,3.1
1806-01-01,0.18
1807-01-01,-2.29
1808-01-01,1.79
1809-01-01,-1.22
1810-01-01,-0.57
1811-01-01,0.24
1812-01-01,1.26
1813-01-01,0.59
1814-01-01,2.44
1815-01-01,0.77
1816-01-01,1.18
1817-01-01,0.1
1818-01-01,0.38
1819-01-01,-0.15
1820-01-01,-0.18
1821-01-01,0.33
1822-01-01,-0.69
1823-01-01,0.92
1824-01-01,0.12
1825-01-01,2.54
1826-01-01,-1.44
1827-01-01,-0.26
1828-01-01,-0.13
1829-01-01,0.77
1830-01-01,-1.34
1831-01-01,-3.02
1832-01-01,-2.7
1833-01-01,-5.45
1834-01-01,-0.93
1835-01-01,-1.3
1836-01-01,-0.0
1837-01-01,-0.05
1838-01-01,-0.16
1839-01-01,-0.11
1840-01-01,0.07
1841-01-01,3.08
1842-01-01,2.15
1843-01-01,0.68
1844-01-01,-0.06
1845-01-01,-1.11
1846-01-01,-0.87
1847-01-01,-1.69
1848-01-01,0.24
1849-01-01,1.62
1850-01-01,-0.52
1851-01-01,0.13
1852-01-01,-0.16
1853-01-01,0.23
1854-01-01,-0.94
1855-01-01,-1.46
1856-01-01,-0.37
1857-01-01,-0.43
1858-01-01,-0.22
1859-01-01,-0.3
1860-01-01,0.11
1861-01-01,1.55
1862-01-01,1.03
1863-01-01,1.41
1864-01-01,0.85
1865-01-01,-0.87
1866-01-01,0.98
1867-01-01,-0.0
1868-01-01,-0.4
1869-01-01,-0.47
1870-01-01,-1.07
1871-01-01,-0.8
1872-01-01,-1.39
1873-01-01,-1.03
1874-01-01,0.7
1875-01-01,1.46
1876-01-01,0.87
1877-01-01,-1.22
1878-01-01,-1.06
1879-01-01,0.79
1880-01-01,1.16
1881-01-01,-0.22
1882-01-01,-0.08
1883-01-01,-2.62
1884-01-01,-3.2
1885-01-01,-1.23
1886-01-01,0.67
1887-01-01,0.13
1888-01-01,-2.11
1889-01-01,0.9
1890-01-01,3.56
1891-01-01,2.53
1892-01-01,1.52
1893-01-01,0.3
1894-01-01,1.84
1895-01-01,0.48
1896-01-01,0.17
1897-01-01,-0.66
1898-01-01,0.9
1899-01-01,1.37
1900-01-01,0.37
1901-01-01,1.56
1902-01-01,-1.34
1903-01-01,-1.32
1904-01-01,-1.28
1905-01-01,-0.87
1906-01-01,0.01
1907-01-01,-1.26
1908-01-01,0.53
1909-01-01,1.3
1910-01-01,0.7
1911-01-01,-1.33
1912-01-01,-1.96
1913-01-01,-0.52
1914-01-01,-1.45
1915-01-01,1.18
1916-01-01,-0.51
1917-01-01,-1.05
1918-01-01,0.26
1919-01-01,-1.54
1920-01-01,-0.52
1921-01-01,1.93
1922-01-01,1.14
1923-01-01,1.05
1924-01-01,-1.6
1925-01-01,-2.61
1926-01-01,-1.25
1927-01-01,0.27
1928-01-01,0.14
1929-01-01,-1.17
1930-01-01,-2.69
1931-01-01,-1.67
1932-01-01,1.65
1933-01-01,0.77
1934-01-01,4.49
1935-01-01,-0.4
1936-01-01,-1.88
1937-01-01,-1.19
1938-01-01,-2.78
1939-01-01,-4.22
1940-01-01,-2.27
1941-01-01,-0.94
1942-01-01,-1.02
1943-01-01,0.7
1944-01-01,0.34
1945-01-01,-0.42
1946-01-01,-1.3
1947-01-01,-0.77
1948-01-01,-0.02
1949-01-01,-0.8
1950-01-01,-0.18
1951-01-01,1.93
1952-01-01,-0.59
1953-01-01,0.64
1954-01-01,0.48
1955-01-01,3.25
1956-01-01,3.33
1957-01-01,1.1
1958-01-01,0.8
1959-01-01,2.1
1960-01-01,3.44
1961-01-01,2.06
1962-01-01,-0.6
1963-01-01,-0.26
1964-01-01,-1.02
1965-01-01,-0.05
1966-01-01,-0.02
1967-01-01,-1.18
1968-01-01,-1.54
1969-01-01,-0.85
1970-01-01,-0.85
1971-01-01,0.37
1972-01-01,0.92
1973-01-01,-0.22
1974-01-01,1.62
1975-01-01,-1.51
1976-01-01,4.6
1977-01-01,2.81
1978-01-01,0.35
1979-01-01,0.53
1980-01-01,-0.02
1981-01-01,0.57
1982-01-01,0.62
1983-01-01,-0.62
1984-01-01,-0.13
1985-01-01,-0.39
1986-01-01,0.58
1987-01-01,0.2
1988-01-01,-0.15
1989-01-01,2.07
1990-01-01,3.71
1991-01-01,2.17
1992-01-01,-1.37
1993-01-01,-1.41
1994-01-01,-0.63
1995-01-01,-2.67
1996-01-01,0.95
1997-01-01,-0.02
1998-01-01,2.34
1999-01-01,3.83
2000-01-01,3.24
2001-01-01,2.02
2002-01-01,-0.97
2003-01-01,-2.79
2004-01-01,-3.09
2005-01-01,-3.33
2006-01-01,1.3
2007-01-01,-0.06
2008-01-01,0.74
2009-01-01,2.05
2010-01-01,1.7
2011-01-01,5.59
2012-01-01,3.29
