time,sc_pdsi
1807-01-01,-3.38
1808-01-01,0.28
1809-01-01,1.27
1810-01-01,1.55
1811-01-01,-0.69
1812-01-01,1.48
1813-01-01,-2.37
1814-01-01,-1.34
1815-01-01,0.31
1816-01-01,0.65
1817-01-01,-1.48
1818-01-01,-1.23
1819-01-01,0.17
1820-01-01,-0.7
1821-01-01,0.44
1822-01-01,-0.81
1823-01-01,-0.96
1824-01-01,0.04
1825-01-01,0.58
1826-01-01,-1.48
1827-01-01,-0.48
1828-01-01,-1.94
1829-01-01,-0.34
1830-01-01,1.04
1831-01-01,1.23
1832-01-01,-3.21
1833-01-01,-2.77
1834-01-01,1.02
1835-01-01,2.89
1836-01-01,0.26
1837-01-01,-0.57
1838-01-01,-1.42
1839-01-01,-1.87
1840-01-01,1.78
1841-01-01,2.64
1842-01-01,0.13
1843-01-01,-0.34
1844-01-01,-0.83
1845-01-01,-1.01
1846-01-01,-1.95
1847-01-01,0.38
1848-01-01,1.2
1849-01-01,-1.22
1850-01-01,1.53
1851-01-01,1.62
1852-01-01,-0.7
1853-01-01,-1.12
1854-01-01,1.26
1855-01-01,1.58
1856-01-01,-0.31
1857-01-01,-1.69
1858-01-01,-0.81
1859-01-01,-0.08
1860-01-01,0.64
1861-01-01,3.0
1862-01-01,1.26
1863-01-01,-0.98
1864-01-01,-0.78
1865-01-01,-1.53
1866-01-01,-0.01
1867-01-01,-0.69
1868-01-01,-1.91
1869-01-01,-0.62
1870-01-01,1.45
1871-01-01,0.55
1872-01-01,-1.75
1873-01-01,2.91
1874-01-01,0.84
1875-01-01,0.97
1876-01-01,-1.52
1877-01-01,-1.03
1878-01-01,-4.46
1879-01-01,0.71
1880-01-01,1.09
1881-01-01,-0.15
1882-01-01,0.04
1883-01-01,-0.14
1884-01-01,-0.71
1885-01-01,0.59
1886-01-01,1.5
1887-01-01,-0.05
1888-01-01,-0.75
1889-01-01,1.9
1890-01-01,0.58
1891-01-01,0.42
1892-01-01,0.57
1893-01-01,0.85
1894-01-01,0.85
1895-01-01,-1.43
1896-01-01,-1.14
1897-01-01,-1.07
1898-01-01,-2.31
1899-01-01,0.18
1900-01-01,0.07
1901-01-01,-0.81
1902-01-01,-2.25
1903-01-01,-0.49
1904-01-01,1.02
1905-01-01,-1.07
1906-01-01,-1.01
1907-01-01,0.5
1908-01-01,0.17
1909-01-01,1.5
1910-01-01,1.89
1911-01-01,0.06
1912-01-01,-1.76
1913-01-01,-0.28
1914-01-01,-1.05
1915-01-01,-0.4
1916-01-01,0.15
1917-01-01,2.33
1918-01-01,-0.2
1919-01-01,-1.13
1920-01-01,0.07
1921-01-01,0.84
1922-01-01,-0.4
1923-01-01,-0.33
1924-01-01,0.22
1925-01-01,-0.6
1926-01-01,-1.78
1927-01-01,0.54
1928-01-01,0.03
1929-01-01,-1.46
1930-01-01,-3.79
1931-01-01,-1.83
1932-01-01,-1.57
1933-01-01,-1.39
1934-01-01,1.03
1935-01-01,0.88
1936-01-01,-0.97
1937-01-01,-1.93
1938-01-01,1.62
1939-01-01,-1.41
1940-01-01,-0.13
1941-01-01,-1.73
1942-01-01,-2.52
1943-01-01,-1.9
1944-01-01,-1.32
1945-01-01,-3.21
1946-01-01,-2.76
1947-01-01,-1.52
1948-01-01,-2.4
1949-01-01,-1.96
1950-01-01,0.8
1951-01-01,0.16
1952-01-01,-0.58
1953-01-01,1.49
1954-01-01,1.16
1955-01-01,2.73
1956-01-01,3.2
1957-01-01,0.36
1958-01-01,0.51
1959-01-01,1.33
1960-01-01,1.45
1961-01-01,2.0
1962-01-01,1.47
1963-01-01,0.03
1964-01-01,-0.1
1965-01-01,-0.08
1966-01-01,-0.3
1967-01-01,2.36
1968-01-01,-0.38
1969-01-01,0.93
1970-01-01,2.75
1971-01-01,3.16
1972-01-01,1.25
1973-01-01,1.22
1974-01-01,3.17
1975-01-01,-0.14
1976-01-01,2.05
1977-01-01,-1.23
1978-01-01,-0.23
1979-01-01,1.02
1980-01-01,-0.73
1981-01-01,-0.92
1982-01-01,-0.99
1983-01-01,-3.66
1984-01-01,3.37
1985-01-01,-0.79
1986-01-01,1.55
1987-01-01,0.58
1988-01-01,-0.77
1989-01-01,2.05
1990-01-01,2.74
1991-01-01,-0.3
1992-01-01,0.34
1993-01-01,3.79
1994-01-01,4.16
1995-01-01,-1.28
1996-01-01,2.48
1997-01-01,1.85
1998-01-01,-1.08
1999-01-01,1.45
2000-01-01,2.43
2001-01-01,0.73
2002-01-01,-0.56
2003-01-01,-2.5
2004-01-01,-2.06
2005-01-01,-1.54
2006-01-01,-0.69
2007-01-01,-3.15
2008-01-01,-2.6
2009-01-01,-2.69
2010-01-01,-1.67
2011-01-01,4.76
2012-01-01,3.4
